Reactant,product,ee,nbo_charge,bond_energy,Vbur,L,B1,B5
CO/C(=C\c1ccc2ccccc2c1)C(=O)O,CO[C@@H](Cc1ccc2ccccc2c1)C(=O)O,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,1,1.49799,-0.443925,0.7034860697,11.69207203,3.754951741,7.338522126
Cc1ccccc1/C=C(\Oc1ccccc1)C(=O)O,Cc1ccccc1C[C@H](Oc1ccccc1)C(=O)O,1,1.6177,-0.49298,0.7291220183,8.915081542,3.515328942,11.62153315
O=C(O)/C(=C/c1ccc2ccccc2c1)OCc1ccccc1,O=C(O)[C@H](Cc1ccc2ccccc2c1)OCc1ccccc1,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,1,1.73594,-0.54201,0.7853848304,8.454508193,2.752712559,9.286125829
CC/C=C(\OC(=O)c1ccccc1)P(=O)(OC)OC,CCC[C@H](OC(=O)c1ccccc1)P(=O)(OC)OC,1,1.560625,-0.47559,0.6785547894,8.609057483,4.066448449,10.73151123
Cc1cccc(/C=C(\Oc2ccccc2)C(=O)O)c1,Cc1cccc(C[C@H](Oc2ccccc2)C(=O)O)c1,1,1.6177,-0.49298,0.7291220183,8.915081542,3.515328942,11.62153315
COC(=O)/C(=C/c1ccc(C)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(C)cc1)NC(C)=O,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
CCOC(=O)/C=C(\c1ccccc1)P(=O)(OCC)OCC,CCOC(=O)CC(c1ccccc1)P(=O)(OCC)OCC,1,1.69298,-0.5145,0.6905807398,8.36477452,2.634392033,7.862790535
CO/C(=C\c1ccc(Cl)cc1)C(=O)O,CO[C@@H](Cc1ccc(Cl)cc1)C(=O)O,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
COC(=O)/C=C(/NC(C)=O)C(C)(C)C,COC(=O)C[C@H](NC(C)=O)C(C)(C)C,1,1.482825,-0.57427,0.7801434961,8.788474994,5.124058617,9.669347843
